iteration= 0
(N, 0, 2, d, 0):X=[0]
(N, 0, 2, d, 25):stay=[0.0]
(N, 0, 2, d, 50):stay=[0.0]
(N, 0, 2, d, 75):stay=[0.0]
(N, 0, 2, d, 100):stay=[0.0]
(N, 0, 2, r, 0):X=[0]
(N, 0, 2, r, 25):stay=[0.0]
(N, 0, 2, r, 50):stay=[0.0]
(N, 0, 2, r, 75):stay=[0.0]
(N, 0, 2, r, 100):stay=[0.0]
(N, 0, 3, d, 0):X=[0]
(N, 0, 3, d, 25):stay=[0.0]
(N, 0, 3, d, 50):stay=[0.0]
(N, 0, 3, d, 75):stay=[0.0]
(N, 0, 3, d, 100):stay=[0.0]
(N, 0, 3, r, 0):X=[0]
(N, 0, 3, r, 25):stay=[0.0]
(N, 0, 3, r, 50):stay=[0.0]
(N, 0, 3, r, 75):stay=[0.0]
(N, 0, 3, r, 100):stay=[0.0]
(N, 1, 0, d, 0):X=[0]
(N, 1, 0, d, 25):stay=[0.0]
(N, 1, 0, d, 50):stay=[0.0]
(N, 1, 0, d, 75):stay=[0.0]
(N, 1, 0, d, 100):stay=[0.0]
(N, 1, 0, r, 0):X=[0]
(N, 1, 0, r, 25):stay=[0.0]
(N, 1, 0, r, 50):stay=[0.0]
(N, 1, 0, r, 75):stay=[0.0]
(N, 1, 0, r, 100):stay=[0.0]
(N, 1, 1, d, 0):X=[0]
(N, 1, 1, d, 25):stay=[0.0]
(N, 1, 1, d, 50):stay=[0.0]
(N, 1, 1, d, 75):stay=[0.0]
(N, 1, 1, d, 100):stay=[0.0]
(N, 1, 1, r, 0):X=[0]
(N, 1, 1, r, 25):stay=[0.0]
(N, 1, 1, r, 50):stay=[0.0]
(N, 1, 1, r, 75):stay=[0.0]
(N, 1, 1, r, 100):stay=[0.0]
(N, 1, 2, d, 0):X=[0]
(N, 1, 2, d, 25):stay=[0.0]
(N, 1, 2, d, 50):stay=[0.0]
(N, 1, 2, d, 75):stay=[0.0]
(N, 1, 2, d, 100):stay=[0.0]
(N, 1, 2, r, 0):X=[0]
(N, 1, 2, r, 25):stay=[0.0]
(N, 1, 2, r, 50):stay=[0.0]
(N, 1, 2, r, 75):stay=[0.0]
(N, 1, 2, r, 100):stay=[0.0]
(N, 1, 3, d, 0):X=[0]
(N, 1, 3, d, 25):stay=[0.0]
(N, 1, 3, d, 50):stay=[0.0]
(N, 1, 3, d, 75):stay=[0.0]
(N, 1, 3, d, 100):stay=[0.0]
(N, 1, 3, r, 0):X=[0]
(N, 1, 3, r, 25):stay=[0.0]
(N, 1, 3, r, 50):stay=[0.0]
(N, 1, 3, r, 75):stay=[0.0]
(N, 1, 3, r, 100):stay=[0.0]
(N, 2, 0, d, 0):X=[0]
(N, 2, 0, d, 25):stay=[0.0]
(N, 2, 0, d, 50):stay=[0.0]
(N, 2, 0, d, 75):stay=[0.0]
(N, 2, 0, d, 100):stay=[0.0]
(N, 2, 0, r, 0):X=[0]
(N, 2, 0, r, 25):stay=[0.0]
(N, 2, 0, r, 50):stay=[0.0]
(N, 2, 0, r, 75):stay=[0.0]
(N, 2, 0, r, 100):stay=[0.0]
(N, 2, 1, d, 0):X=[0]
(N, 2, 1, d, 25):stay=[0.0]
(N, 2, 1, d, 50):stay=[0.0]
(N, 2, 1, d, 75):stay=[0.0]
(N, 2, 1, d, 100):stay=[0.0]
(N, 2, 1, r, 0):X=[0]
(N, 2, 1, r, 25):stay=[0.0]
(N, 2, 1, r, 50):stay=[0.0]
(N, 2, 1, r, 75):stay=[0.0]
(N, 2, 1, r, 100):stay=[0.0]
(N, 2, 2, d, 0):X=[0]
(N, 2, 2, d, 25):stay=[0.0]
(N, 2, 2, d, 50):stay=[0.0]
(N, 2, 2, d, 75):stay=[0.0]
(N, 2, 2, d, 100):stay=[0.0]
(N, 2, 2, r, 0):X=[0]
(N, 2, 2, r, 25):stay=[0.0]
(N, 2, 2, r, 50):stay=[0.0]
(N, 2, 2, r, 75):stay=[0.0]
(N, 2, 2, r, 100):stay=[0.0]
(N, 2, 3, d, 0):X=[0]
(N, 2, 3, d, 25):stay=[0.0]
(N, 2, 3, d, 50):stay=[0.0]
(N, 2, 3, d, 75):stay=[0.0]
(N, 2, 3, d, 100):stay=[0.0]
(N, 2, 3, r, 0):X=[0]
(N, 2, 3, r, 25):stay=[0.0]
(N, 2, 3, r, 50):stay=[0.0]
(N, 2, 3, r, 75):stay=[0.0]
(N, 2, 3, r, 100):stay=[0.0]
(S, 0, 0, d, 0):X=[0]
(S, 0, 0, d, 25):stay=[0.0]
(S, 0, 0, d, 50):stay=[0.0]
(S, 0, 0, d, 75):stay=[0.0]
(S, 0, 0, d, 100):stay=[0.0]
(S, 0, 0, r, 0):X=[0]
(S, 0, 0, r, 25):stay=[0.0]
(S, 0, 0, r, 50):stay=[0.0]
(S, 0, 0, r, 75):stay=[0.0]
(S, 0, 0, r, 100):stay=[0.0]
(S, 0, 1, d, 0):X=[0]
(S, 0, 1, d, 25):stay=[0.0]
(S, 0, 1, d, 50):stay=[0.0]
(S, 0, 1, d, 75):stay=[0.0]
(S, 0, 1, d, 100):stay=[0.0]
(S, 0, 1, r, 0):X=[0]
(S, 0, 1, r, 25):stay=[0.0]
(S, 0, 1, r, 50):stay=[0.0]
(S, 0, 1, r, 75):stay=[0.0]
(S, 0, 1, r, 100):stay=[0.0]
(S, 0, 2, d, 0):X=[0]
(S, 0, 2, d, 25):stay=[0.0]
(S, 0, 2, d, 50):stay=[0.0]
(S, 0, 2, d, 75):stay=[0.0]
(S, 0, 2, d, 100):stay=[0.0]
(S, 0, 2, r, 0):X=[0]
(S, 0, 2, r, 25):stay=[0.0]
(S, 0, 2, r, 50):stay=[0.0]
(S, 0, 2, r, 75):stay=[0.0]
(S, 0, 2, r, 100):stay=[0.0]
(S, 0, 3, d, 0):X=[0]
(S, 0, 3, d, 25):stay=[0.0]
(S, 0, 3, d, 50):stay=[0.0]
(S, 0, 3, d, 75):stay=[0.0]
(S, 0, 3, d, 100):stay=[0.0]
(S, 0, 3, r, 0):X=[0]
(S, 0, 3, r, 25):stay=[0.0]
(S, 0, 3, r, 50):stay=[0.0]
(S, 0, 3, r, 75):stay=[0.0]
(S, 0, 3, r, 100):stay=[0.0]
(S, 1, 0, d, 0):X=[0]
(S, 1, 0, d, 25):stay=[0.0]
(S, 1, 0, d, 50):stay=[0.0]
(S, 1, 0, d, 75):stay=[0.0]
(S, 1, 0, d, 100):stay=[0.0]
(S, 1, 0, r, 0):X=[0]
(S, 1, 0, r, 25):stay=[0.0]
(S, 1, 0, r, 50):stay=[0.0]
(S, 1, 0, r, 75):stay=[0.0]
(S, 1, 0, r, 100):stay=[0.0]
(S, 1, 1, d, 0):X=[0]
(S, 1, 1, d, 25):stay=[0.0]
(S, 1, 1, d, 50):stay=[0.0]
(S, 1, 1, d, 75):stay=[0.0]
(S, 1, 1, d, 100):stay=[0.0]
(S, 1, 1, r, 0):X=[0]
(S, 1, 1, r, 25):stay=[0.0]
(S, 1, 1, r, 50):stay=[0.0]
(S, 1, 1, r, 75):stay=[0.0]
(S, 1, 1, r, 100):stay=[0.0]
(S, 1, 2, d, 0):X=[0]
(S, 1, 2, d, 25):stay=[0.0]
(S, 1, 2, d, 50):stay=[0.0]
(S, 1, 2, d, 75):stay=[0.0]
(S, 1, 2, d, 100):stay=[0.0]
(S, 1, 2, r, 0):X=[0]
(S, 1, 2, r, 25):stay=[0.0]
(S, 1, 2, r, 50):stay=[0.0]
(S, 1, 2, r, 75):stay=[0.0]
(S, 1, 2, r, 100):stay=[0.0]
(S, 1, 3, d, 0):X=[0]
(S, 1, 3, d, 25):stay=[0.0]
(S, 1, 3, d, 50):stay=[0.0]
(S, 1, 3, d, 75):stay=[0.0]
(S, 1, 3, d, 100):stay=[0.0]
(S, 1, 3, r, 0):X=[0]
(S, 1, 3, r, 25):stay=[0.0]
(S, 1, 3, r, 50):stay=[0.0]
(S, 1, 3, r, 75):stay=[0.0]
(S, 1, 3, r, 100):stay=[0.0]
(S, 2, 0, d, 0):X=[0]
(S, 2, 0, d, 25):stay=[0.0]
(S, 2, 0, d, 50):stay=[0.0]
(S, 2, 0, d, 75):stay=[0.0]
(S, 2, 0, d, 100):stay=[0.0]
(S, 2, 0, r, 0):X=[0]
(S, 2, 0, r, 25):stay=[0.0]
(S, 2, 0, r, 50):stay=[0.0]
(S, 2, 0, r, 75):stay=[0.0]
(S, 2, 0, r, 100):stay=[0.0]
(S, 2, 1, d, 0):X=[0]
(S, 2, 1, d, 25):stay=[0.0]
(S, 2, 1, d, 50):stay=[0.0]
(S, 2, 1, d, 75):stay=[0.0]
(S, 2, 1, d, 100):stay=[0.0]
(S, 2, 1, r, 0):X=[0]
(S, 2, 1, r, 25):stay=[0.0]
(S, 2, 1, r, 50):stay=[0.0]
(S, 2, 1, r, 75):stay=[0.0]
(S, 2, 1, r, 100):stay=[0.0]
(S, 2, 2, d, 0):X=[0]
(S, 2, 2, d, 25):stay=[0.0]
(S, 2, 2, d, 50):stay=[0.0]
(S, 2, 2, d, 75):stay=[0.0]
(S, 2, 2, d, 100):stay=[0.0]
(S, 2, 2, r, 0):X=[0]
(S, 2, 2, r, 25):stay=[0.0]
(S, 2, 2, r, 50):stay=[0.0]
(S, 2, 2, r, 75):stay=[0.0]
(S, 2, 2, r, 100):stay=[0.0]
(S, 2, 3, d, 0):X=[0]
(S, 2, 3, d, 25):stay=[0.0]
(S, 2, 3, d, 50):stay=[0.0]
(S, 2, 3, d, 75):stay=[0.0]
(S, 2, 3, d, 100):stay=[0.0]
(S, 2, 3, r, 0):X=[0]
(S, 2, 3, r, 25):stay=[0.0]
(S, 2, 3, r, 50):stay=[0.0]
(S, 2, 3, r, 75):stay=[0.0]
(S, 2, 3, r, 100):stay=[0.0]
(E, 0, 0, d, 0):X=[0]
(E, 0, 0, d, 25):sb=[2.220446049250313e-16]
